nfotradingsymbol,OPEN,HIGH,LOW
AUBANK,758.25,758.25,743
GRASIM,2127.7,2127.7,2104.55
ICICIBANK,1029.95,1029.95,1018
INDUSINDBK,1570,1570,1552.9
JUBLFOOD,565.45,565.45,558.6
L&TFH,161.3,161.3,159.05
LICHSGFIN,540.4,540.4,531.95
LT,3496,3496,3466
M&MFIN,286.9,286.9,281.25
MCDOWELL-N,1079.3,1079.3,1061.3
METROPOLIS,1540,1660.95,1540
POWERGRID,236.9,236.9,231.8
RAMCOCEM,1038.8,1038.8,1008.15
RBLBANK,293.2,293.2,287.3
ULTRACEMCO,10028,10028,9941.75
